symbol,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_117,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_136,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_143,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_149,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191,Col_sum
600335.XSHG,,,,0.04334867512280122,,0.504655493482309,0.461750501389501,0.4529411764705882,0.04350903563277336,0.4931466415776561,,0.0192545706762358,0.9555751753264812,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5672647541357647,0.3693540204747081,0.5188122984816622,,0.3779124216146828,0.2542689970153684,0.5390588460056931,0.7659840267827059,,0.6056307992399174,0.924357034795764,0.4231505538082864,0.2718329109910681,,,0.25100523776558226,,,,0.016529612094027705,,,,0.09628092987446267,0.19744840028037566,0.36875781864566254,,,,,,,,1.3787375436254772e-18,0.0,0.4076869830962509,,0.44612153825961404,,,,0.673319058234175,0.15645798445618128,0.14066041575977406,0.8087068852100013,0.7828378652708242,0.9560109105894824,,0.0,0.6378981707888105,0.34143623793348377,,,,,,0.7192947266948936,0.7280202809643416,,0.00899241603142893,0.3731119224236189,,,,,,0.7170988748696224,0.7442078726223385,,,,,,0.0,0.38456824869552,0.0,0.4968479117415288,0.7333333333333333,0.0,1.0,0.12592662993712367,,,,0.7940806045340051,0.9253630752126002,0.8553671790416292,0.01820278317895085,,0.5940842869487653,,,,,,0.1375,,,0.006600660066006601,0.7287349927456729,0.90167474359082,,0.8597210828547972,0.00556309764339326,0.042967800729040086,0.10592708872233983,,,,0.022070990125433676,0.0,,0.6693997928322819,0.5626000088505382,,0.0,,,,,,,,,0.056552179944318874,,0.0,0.22799348508617676,0.0,0.5714426623322975,0.7646889077008067,0.04318533619275408,0.0,0.21213968546448864,,0.5266088095627968,0.0,,0.03020847717044875,0.0,0.9944759047907864,0.4622641509433962,0.006093319006048668,,0.4857184926072578,,,0.6886766448138412,,,,0.0504897083247621,0.031222743947195545,0.0,,,0.5939274942533539,,0.9999999840891,0.38517841948907616,0.1222081019445364,,0.6357106208311954,0.4883720930232559,,0.0,0.0,0.0,,,38.66628971729375
002359.XSHE,,,,0.08484601849039093,,0.5288640595903166,0.475020460289052,0.475,0.10711506113536767,0.4284653924661348,,0.003193866447373886,0.9138216533309108,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5914812779809718,0.009188313272884769,0.5083323945031737,,0.3793955213755781,0.0024183702840192105,0.3876637981385883,0.7659840267827059,,0.6056307992399191,0.968229954614221,0.378025434158348,0.2718329109910669,,,0.25113640192537423,,,,0.02882299194285257,,,,,0.19744840028037655,0.5467588775943473,,,,,,,0.9836734693877552,6.172501926077134e-17,,0.08379263699898616,,0.7854986593666206,,,,0.1846971798478073,,0.14066041575977226,0.8087068852100042,0.5245607403417325,0.8367550193843974,,0.0,0.6378981707888034,0.4337512764084615,,0.39649122807017545,0.15789473684210525,,,0.4670329627055231,0.34823038495630393,,0.01107437162918425,0.41710013271867996,,,,,,0.7170988748696224,0.7743331595415412,,,,,,0.0,0.04507734018152275,0.0,0.5642237982663514,0.6202898550724638,0.0,1.0,0.14309347041875786,,,,0.7940806045340051,0.936767021673122,0.4519455092987406,0.040966564245369874,,0.4928452258891739,,,,,0.530023875090656,0.1375,,,0.029417168520975805,,0.8342751083826129,,0.8597210828547972,,0.08420413122721747,0.0,,,,0.008006405124099279,1.9079593212119667e-16,,0.6693997928322819,0.40275339848084096,,0.0,,,,0.015384326748091162,,,,,0.029207500333148367,0.4978097930566401,1.0,0.05113994808574583,0.0,0.4910872973637628,0.7223969562817343,0.0846542562204573,1.0,0.1931081551347177,,0.5356148681840512,0.0,,0.2298138832705816,0.0,0.9725009919983604,0.4575471698113208,0.0002708283808696956,,0.40208381437991214,,,0.707401500444424,,,,0.08517278109684323,0.21642070085522694,0.0,,,0.5939274942533539,,0.9999999840891,0.34505195483682083,0.2272397565122528,,0.40790148794253467,0.5058139534883721,,0.0,0.0,2.3839271656443106e-15,,,39.18897215462593
002665.XSHE,,,,0.021705861786334584,,0.4562383612662943,0.5186638307057226,0.4191176470588236,0.02441567754780609,0.4479495268138801,,0.001885585652935948,0.9773515978479276,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5817642420523543,0.14859240363387466,0.5164132503404345,,0.3874132290323952,0.13337602029204018,0.4622975131040799,0.7659840267827059,,0.6056307992399163,0.9757942511346446,0.3985368521810472,0.27183291099106954,,0.2638483965014577,0.25063797811816474,,,,0.016529612094027705,,,,0.37120126606642573,0.1974484002803784,0.4816276548702723,,,,,,,0.9183673469387754,7.264886287565011e-18,1.0,0.2446842987093629,,0.2691204320027,,,,0.25048983968194743,,0.14066041575977992,0.8087068852099939,0.5932318222737266,0.9819839243644763,,0.0,0.6378981707888055,0.4035160245878865,,0.4491228070175438,0.3157894736842105,,,,0.44748505179768666,,0.037563590741746665,0.40283868306352216,,,,,,0.7170988748696224,0.7447519237312573,,,,,0.6145745932137061,0.0,0.21436381557917566,0.0,0.5642237982663514,0.7159420289855072,0.0,0.0,0.2353004715978669,,,,0.7940806045340051,0.9443856983484528,0.3924987377614515,0.05122061142937445,,0.6014683907130285,,,,0.0,0.530023875090656,0.10524193548387097,,,0.043278554659589664,,0.8448348259149998,,0.8597210828547972,,0.021461117861482373,0.4767157249259759,,,0.006960612032764589,0.007622097678142512,3.1596778567841496e-17,,0.6693997928322819,0.4614061849709685,,0.0,,,,0.9724770642201834,,,,,0.022313620557588072,,,0.29156096283235466,0.0,0.5594046842288343,0.667086080407242,0.02155734696283597,0.0,0.17288685655385733,,0.5143278205338138,0.0,,0.035071143617248515,0.0,0.9818099336229192,0.4323899371069181,0.15418358447206934,,0.4024738263078566,,,0.6808257079645464,,,,0.026573445536435116,0.03233753983605135,0.0,,,0.5939274942533539,,0.9999999840891,0.31837419123608257,0.06742916166170529,,0.6629040533606978,0.4854651162790698,,0.0,0.0,1.9071417325154488e-15,,,39.46457668109643
600158.XSHG,,,,0.04843840453031776,,0.4916201117318436,0.468994792744017,0.4632352941176471,0.05187255113946021,0.4705480841957681,,0.03868357879172998,0.9504540251148696,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5681736899179896,0.4390412494668845,0.5187716153376299,,0.3799227608612021,0.0,0.6137451065280215,0.7659840267827059,,0.605630799239915,0.09174571393940477,0.4245179816764664,0.27183291099106993,,0.907743682466628,0.25100523776558226,,,,0.016529612094027705,,,,0.2221604397014479,0.19744840028037566,0.2764659558682396,,,,,,,,5.09072323800176e-18,,0.5687480009887446,,0.4877467984174898,,,,0.5494868034581663,,0.14066041575977115,0.8087068852100056,0.773867167669007,0.9358819911892732,,0.0,0.6378981707888078,0.2572398358389472,,0.005263157894736844,,,,0.4547773304469302,0.6861946552025022,,0.008122892440556044,0.2888347338509989,,,,,,0.7170988748696224,0.745943743347013,,,,,,0.0,0.5540624391901245,0.0,0.5133963750985027,0.7942028985507247,0.0,,0.09536338036175927,,,,0.7940806045340051,0.8809961114962813,0.9564901306069109,0.01535891178432171,,0.5134175605627278,,,,0.0,0.530023875090656,0.1375,,0.2562401325328868,0.0046991770784768645,0.4697960914663597,0.8970435706435514,,0.8597210828547972,0.0038935098657459596,0.04802551640340218,0.056006259833841096,,,,0.015099138134036634,0.0,,0.6693997928322819,0.5587565455299726,,0.0,,,,0.9311926605504588,,,,,0.05648914936394426,,,0.29020280775907314,0.0,0.5706066995044901,0.7806855961126381,0.04827157942267127,1.0,0.2219086732444023,,0.5225151465531358,0.0,,0.02673627580627658,0.0,0.993240332077608,0.4952830188679245,0.009180951385382965,,0.4857184926072577,,,0.6923679789987368,,,,0.055619201788277686,0.030582011949013683,0.0,,,0.5939274942533539,,0.9999999840891,0.3851784194855105,0.1350904374771512,,0.3435094920472037,0.5130813953488372,,0.0,0.0,2.14553444907988e-15,,,39.56090449590279
000566.XSHE,,,,0.05417008179103452,,0.4823091247672253,0.4991928303549748,0.4514705882352942,0.054347553989833534,0.420667962732008,,0.06227416581524582,0.9446869640657578,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5677924286138211,0.3900643204486413,0.5188043726003162,,0.3273772821478632,0.19575119977310235,0.7625662575293586,0.7659840267827059,,0.6056307992399166,0.5476550680786687,0.4087925611923968,0.2718329109910688,,,0.2509658885176447,,,,0.016529612094027705,,,,0.6502919224106589,0.19744840028037616,0.21398876606086767,,,,,,,,7.211857920502493e-18,,0.8897064011526936,,0.5346220913880708,,,,0.5558427814069484,0.9995478289215982,0.14066041575977406,0.8087068852100013,0.7453020435475589,0.9758881083358084,,0.0,0.6378981707888085,0.22806131683586836,,,,,,0.7192947266948936,0.6542360827990839,,0.0,0.2484688784507299,,,,,,0.7170988748696224,0.7448775087677206,,,,,,0.0,0.8918396201494991,0.0,0.5642237982663514,0.773913043478261,0.0,,0.21107949899071224,,,,0.7940806045340051,0.8965373275572189,0.93339534314241,0.0,,0.4090393514424918,,,,0.0,0.530023875090656,0.1375,,,0.0061405625098592325,0.623074458868218,0.8992762128038603,,0.8597210828547972,,0.05372114216281895,0.0,,,,,0.0,,0.6693997928322819,0.5601398617402363,,0.0,,,,,,,,,0.05612262214832514,,0.0,0.19061293583675004,0.0,0.5720070923761437,0.7817928590630259,0.053999330807713145,0.5,0.18891332647286835,,0.5331586703782545,0.0,,0.0,0.0,0.9921904655951708,0.470125786163522,0.04061348831143468,,0.4857184926072578,,,0.6906437813825537,,,,0.06154421594572077,0.0,0.0,,,0.5939274942533539,,0.9999999840891,0.38517841948764986,0.1495975720859518,,0.21446895844022573,0.5,,0.0,0.0,0.0,,,39.689434385413854
300197.XSHE,1.0,,,0.019688311390562197,,0.4581005586592178,0.4666474804615482,0.4308823529411765,0.034970285271299466,0.3651419558359622,,0.004066053643665844,0.9793816033372152,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.6301114910232158,0.021390230423794208,0.506665504105706,,0.3849437831623137,0.07575594421507273,0.3776521573857867,0.7659840267827059,,0.6056307992399096,0.9773071104387292,0.3725557226856281,0.2718329109910746,,,0.25091342285372786,,,,0.016529612094027705,,,,0.029746859939541983,0.1974484002803746,0.6166161672975307,,,,,,,0.9387755102040816,6.946716085189901e-18,1.0,0.06572376364191443,,0.25262032887705543,,,,0.1058719405659358,,0.14066041575976507,0.808706885210013,0.3815044029521763,0.9355814302247268,,0.0,0.6378981707888072,0.5643589041348889,,,0.3157894736842105,,,0.4236576367706992,0.24027892686492744,,0.031943011567732736,0.6007473649700229,,,,,,0.7170988748696224,0.7604005391749621,,,,,0.6282302614887453,0.0,0.02791540154428937,0.0,0.5642237982663514,0.63768115942029,0.0,1.0,0.20711817578814049,,,,0.7940806045340051,0.9292522395151824,0.4014668191293839,0.04861238838743835,,0.6828810518072459,,,,,0.530023875090656,0.0978494623655914,,0.3877032757372516,0.0314276361870101,,0.6593644526896385,0.0,0.8597210828547972,,0.019456257594167675,0.2109917063552659,,,,0.04019215372297838,0.0,,0.6693997928322819,0.16450033005606332,,0.0,,,0.032163742690058485,,,,,,0.009095634489979118,,1.0,0.07364348618288749,0.0,0.4974611823589759,0.4686114095363436,0.0195411784753012,1.0,0.18360827814452266,,0.547077124611102,0.0,,0.17179005072997214,0.0,0.9537992193652612,0.4654088050314465,0.014057549375960732,,0.14444812187830913,,,0.6694000322256822,,,,0.020056107005624088,0.16801230917199791,0.0,,,0.5939274942533539,,0.9999999840891,0.12218312910646165,0.062322650279407574,,0.7198563365828629,0.4709302325581395,,0.0,0.0,2.7812483599183626e-15,,,39.935972418334025
300324.XSHE,,,,0.03857991964188482,,0.4804469273743017,0.4531886573553616,0.4573529411764706,0.05771885187350664,0.4544442382631286,,0.0015367107744191644,0.9603733701193422,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.6244411662265172,0.07293187903475051,0.4987523024496121,,0.373998133369541,0.23463706133970336,0.5544686498016519,0.7659840267827059,,0.6056307992399119,,0.3746068644878981,0.2718329109910728,,,0.2508084915258943,,,,0.016529612094027705,,,,0.0250860796851943,0.19744840028038055,0.4072205659914456,,,,,0.00042877189335264435,,0.9469387755102042,1.1109442899597589e-17,1.0,0.4338829927971695,,0.40712129450809065,,,,0.2467921480360123,,0.1406604157597762,0.8087068852099996,0.5440460629690195,0.8621052409181073,,0.0,0.6378981707888027,0.3608667273667838,,0.4947368421052632,0.2631578947368421,,,0.749787906957345,0.39174941526358775,,0.038876301978785936,0.3683271558542298,,,,,,0.7170988748696224,0.7503039535370195,,,,,0.6826503406307848,0.0,0.4084336451655693,0.0,0.5527974783293932,0.7391304347826086,0.0,1.0,0.08975300981972653,,0.502351812407329,,0.7940806045340051,0.9371401483780034,0.38335618361358303,0.047939124257219294,,0.4622897739416925,,,,0.0,0.530023875090656,0.10483870967741936,,,0.03048662032814522,,0.7285462381154688,,0.8597210828547972,0.03123617868199912,0.03822904009720535,0.07252790890393054,,,,0.008486789431545235,7.777668570545598e-17,,0.6693997928322819,0.2244042606000667,,0.0,,,,0.9954128440366972,,,,,0.01089077201983696,0.4978097930566401,,0.058403078056736585,0.0,0.4670595932340432,0.4232974819744592,0.038419847040399344,1.0,0.1772371621488288,,0.53152120517439,0.0,,0.2848190639096984,0.0,0.9771569573943568,0.4496855345911949,0.0006009229457696757,,0.18846797793394787,,,0.6243490241361913,,,,0.03641127126555835,0.269706791450503,0.0,,,0.5939274942533539,,0.9999999840891,0.14265776135772987,0.1101381659500144,,0.4730631092868138,0.5,,0.0,0.0,6.357139108384828e-16,,,40.245269388821576
600759.XSHG,,,,0.013131272604302205,,0.4655493482309125,0.5172316104720707,0.4397058823529412,0.01226188078487972,0.4806152352864316,,0.02013506441725435,0.9859791211773992,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5672509103555624,0.5253233883210777,0.5188138154135665,,0.3842298492315424,0.04278257751344754,0.8064239181214455,0.7659840267827059,,0.605630799239916,0.9162068332269376,0.4429782578968957,0.27183291099106954,,,0.2508084915258943,,,,0.016529612094027705,,,,,0.19744840028037747,0.06869988827112787,,,,,,,,5.57460708744724e-18,0.0,0.9842903899259048,,0.19899499371871068,,,,0.7923067302105488,,0.14066041575977992,0.8087068852099938,0.7325455996156118,0.9894759392826059,,0.0,0.6378981707888085,0.11667545547681556,,,,,,0.7125703080051541,0.7420825487306757,,0.006269549830565816,0.16251762115814306,,,,,,0.7170988748696224,0.7450520892231719,,,,,,0.0,0.9913786085554328,0.0,0.537037037037037,0.7565217391304347,0.0,0.0,0.1449603544813495,,,,0.7940806045340051,0.9020072927994158,0.8652327857850054,0.015337901500344869,,0.4023514865994575,,,,,,0.1375,,,0.008289007594917564,0.4598572770170516,0.9050447883227736,0.0,0.8597210828547972,,0.012940461725394894,0.6824771772010166,,,,0.020167713117862703,0.0,,0.6693997928322819,0.5585780317671323,,0.0,0.14671794871794872,,,,,,,,0.05524749726963515,0.4978097930566401,1.0,0.25237809644627424,0.0,0.5712349271123276,0.7679864387964398,0.01298863089081331,1.0,0.21758714532135212,,0.5135090879318815,0.0,,0.007977342702176024,0.0,0.9948602137668462,0.45911949685534603,0.07825147295997897,,0.4857184926072578,,,0.6903483688132258,,,,0.017682937085382357,0.008530383765510862,0.0,,,0.5939274942533539,,0.9999999840891,0.3851784194905024,0.04572648828693957,,0.4027706516162135,0.5436046511627907,,0.0,0.0,1.3111599411043712e-15,,,40.4296438823547
600086.XSHG,,,,0.04110185763660023,,0.5493482309124768,0.5188324594616472,0.5,0.045068394298292895,0.4038508203759357,,0.02850806150165715,0.9578358632577332,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5679913410975239,0.22114114514568212,0.5188039301980409,,0.3594562170237515,0.13646724144126487,0.4024602238643027,0.7659840267827059,,0.6056307992399174,0.827534039334342,0.3978531382469573,0.2718329109910681,,,0.2513987302449582,,,,0.016529612094027705,,,,0.15355440948077148,0.19744840028037747,0.4405568379348,,,,,,,0.920408163265306,5.196779972126797e-18,1.0,0.11307717043273388,,0.4277464234151461,,,,0.4547403737090577,,0.14066041575977514,0.8087068852099997,0.7068929172431738,0.9705776635833464,,0.0,0.6378981707888065,0.3508837011904312,,,,,,0.4476282116294176,0.5906425368847934,,0.00029167829448229187,0.347884498966642,,,,,,0.7170988748696224,0.7460763995741383,,,,,,0.0,0.0745143698840201,0.0,0.5642237982663514,0.7652173913043478,0.0,,0.16726388665296138,,,,0.7940806045340051,0.9050956465372036,0.8227590044983918,0.005207803266737089,,0.5022864311799103,,,,,0.530023875090656,0.1375,,,0.009684419809080864,0.6818789782247578,0.8988176616157545,,0.8597210828547972,,0.040735115431348716,0.1574499502462079,,,,0.01743710758080148,0.0,,0.6693997928322819,0.5553382756720634,,0.0,0.4522051282051282,,,0.8597640891218874,,,,,0.0532089789370986,0.4978097930566401,0.0,0.11798544983156932,0.0,0.5709845002437353,0.786881602183431,0.040940057649817695,1.0,0.1913005951542067,,0.5429834616014408,0.0,,0.0056668966081785295,0.0,0.9897658435052548,0.4827044025157232,0.016026687552973002,,0.4857184926072577,,,0.6923297972816953,,,,0.04811971477528719,0.005975646771188704,0.0,,,0.5939274942533539,,0.9999999840891,0.38517841948764986,0.11652130517788645,,0.20779887121600815,0.494186046511628,,0.0,0.0,7.151781496932932e-16,,,40.51192733958469
600022.XSHG,1.0,,,0.0043274163318411715,,0.4972067039106144,0.4953593366369581,0.4544117647058824,0.004668597445090453,0.27846034644972056,,0.01137165973070182,0.994837326948835,0.3655685441020192,0.6082772236035696,,7.2181006514138715e-12,0.5502955296972207,,0.6307648126931326,,0.5692295637981967,0.2408979580859782,0.5187988530337991,,0.37726712136842455,0.2307060378990959,0.5914209667613645,0.7659840267827059,,0.6056307992399166,0.0635400907715582,0.4282784083139612,0.2718329109910688,,,0.2509527721016655,,,,0.016529612094027705,,,,,0.1974484002803788,0.4196551912326108,,,,,,,,5.983505511593377e-18,1.0,0.5205974334039271,,0.12699454371589822,,,,0.3391981750773036,,0.140660415759773,0.8087068852100027,0.6517774089402092,0.9986747491838605,,0.0,0.6378981707888055,0.3849449081458079,,0.0736842105263158,,,,0.7192947266948936,0.5160925677529395,,0.028450221637245043,0.4053526986419388,,,,,,0.7170988748696224,0.7460697093528441,,,,,,0.0,0.5033862131452678,0.0,0.5642237982663514,0.9478260869565218,0.0,0.0,0.09083121994725904,,0.502351812407329,,0.7940806045340051,0.8803991706982144,0.6682017070965675,0.015102712094620078,,0.3093692891073094,,,,,0.530023875090656,0.1375,,,0.014649438393917063,0.7495877273620546,0.8821796741591049,,0.8597210828547972,0.015119120653354719,0.00419198055893074,0.9696723894205436,,,,,0.0,,0.6693997928322819,0.5375015068215521,,0.0,0.186923076923077,,,0.8058103975535168,,,,,0.04735520630638061,,,0.4215158033649169,0.0,0.5711605197120291,0.8143105407325788,0.004190804763388985,0.0,0.3270812963175512,,0.5266088095627968,0.0,,0.0021447592394696767,0.0,0.9861689691345684,0.4748427672955975,0.29329378706621273,,0.4857184926072578,,,0.6925231742475952,,,,0.0064661749440506145,0.002033118749115287,0.0,,,0.5939274942533539,,0.9999999840891,0.38517841948907616,0.023443529527821867,,0.4504874294510005,0.5523255813953489,,0.0,0.0,1.1919635828221555e-16,,,40.55804701384538
