symbol,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_117,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_136,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_143,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_149,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191,Col_sum
Row_sum,0.0056269471882489435,0.008187888515970614,0.010330470075448229,0.0010646093997035912,0.012561068528107185,0.005991354959667434,0.008032791501243275,0.00576023896078414,0.0010719590803886187,0.008239542893788093,0.008675624739872672,0.00263344846214054,0.01454057039365174,0.013258383741028413,0.012593322687890936,0.0,3.1215375554147905e-05,0.010219496250754441,0.010201249599818808,0.009822844119148164,0.009374594123319079,0.01153744257464055,0.011444926960222241,0.006306826873912261,0.007742993292255469,0.0012955103596703928,0.0030239234513580577,0.009852103174424484,0.004001227071188187,0.0,0.00998368867155468,0.00655732810924081,0.002690275702497537,0.003738056871562132,0.00575250645799826,0.008711269111448322,0.007608337873636189,0.004449798843598886,0.008077589504155939,0.0020363828362172784,0.0004576460609693135,0.0,0.0045076535429690754,0.0073322650713781926,0.0051667941630866715,0.0031673987184753947,0.0066021181100007174,0.005371948383956546,0.005648786614684121,0.009255384202318988,0.009255384202318988,0.0009059066755864289,0.0068777877470972545,0.00766337469854331,0.00016993616386005934,0.006992244124129131,0.008658576496434185,0.008869969022847875,0.0015223167517474314,0.007277341317405087,0.004425130052237379,0.0,0.008695733829799912,0.008873317554846612,0.002481242950705309,0.011925497839958324,0.009778179557010736,0.013512600365014402,0.0056483911583065215,0.0011647587861433669,0.008305691561537256,0.005614367931752955,0.006515269560862238,0.007523461524927931,0.010479261701657071,0.001718172102038492,0.006072344182539244,0.009782087170470572,0.008688994795475627,0.0,0.0020353385211383745,0.005627921469628965,0.0032430848477196447,0.0067236653117932355,0.00535118829816395,0.011235602358901656,0.00576809231798844,0.007539544267473238,0.007354274636586014,0.007444867069664277,0.008371842653349374,0.004022097545387822,0.0011137458620295087,0.0067690249757687065,0.0009301490980705555,0.008240751399401025,0.0007208071310356081,0.01104391826223255,0.007628719564307584,0.0009650546110446744,0.008147213019632603,0.003683228270385829,0.00792870539075357,0.0,0.0,0.008787354324559188,0.008267026512535868,0.008788712088258661,0.004092787822436373,0.003565241543630065,0.00990814951370178,0.009060874680145298,0.0,0.006450122805847949,0.0,0.009080730505882857,0.0011883263947379116,0.002571402145837901,0.008512931095930225,0.000661170248016548,0.004733153880829013,0.0110499686809419,0.0076789823863203845,0.001682609384348757,0.0011290399001879544,0.001074937600816399,0.0035395402805917663,0.0019086413279651507,0.0004796387543756672,0.0004135719447555197,0.0011650797680033097,0.0009036263712285018,0.006616016702976507,0.003424081912731664,0.0074185108066681564,0.0,0.00021159295980764976,0.004907331380378812,0.0,0.0028966826987490645,0.006563738263591382,0.012163476985202277,0.0,9.942880168861363e-05,0.0,0.0010424792250042047,0.007826128421207766,0.00714832100189987,0.005125073687353689,0.0009526277569533193,0.006644600664763146,0.007963989190172462,0.0010694977843721779,0.005244183093096847,0.005412084012141561,0.00513415961859379,0.006868193369624061,0.0036412057820040342,0.0,0.0012154631233073396,0.0008383218420321148,0.015420766310667506,0.005265945410332319,0.0010836993919198313,0.0,0.006119063915922979,0.0008784700355949531,0.013404184195978086,0.006216985239682504,0.0024112696015926114,0.0,0.005120769589041632,0.0011265017390985842,0.0013098020692531422,0.0008599325126602727,0.00992219362612977,0.00590144016726474,0.0056146636252603676,0.005222763333161638,0.014917040474455029,0.0055866262949681505,0.0016631185225117991,0.0,0.007200035055351166,0.006127853188912721,0.004794235929263627,0.0008201725317663076,0.0033307177933800647,0.0007369604879642006,0.0,0.0,1.0
600022.XSHG,,,,0.003172453343582782,,0.4589877835951135,0.53530783956591,0.4623188405797101,0.0036361710170170532,0.2587452291581239,,0.003745620791611797,0.9955815087556654,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7375943605825535,0.3207128778150076,0.3975810255796829,,0.0844184921188986,0.1929161159527113,0.5863168644726537,0.24371018019375346,,0.6229288806159068,0.9559744863036096,0.15428699696266113,0.24937559609745905,,,0.5048083119239394,,,,0.019412272325788512,,,,,0.21609826428691706,0.5093802466674953,,,,,,,,5.295296850179971e-18,0.0,0.482021831478367,,0.13953014112080914,,,,0.27756406632770564,0.08294031549845518,0.17310696277583826,0.7423028299678968,0.5406389822998445,0.9296405877911594,,0.0,0.5141992583984121,0.4282415971459718,,0.01754385964912281,0.08333333333333331,,,0.6972171071833057,0.40904020624715626,,0.15017598831113782,0.4248223973615616,,,,,,0.479389435396962,0.4637159395472577,,,,,,0.0,0.4544848179510663,0.0,0.758986928104575,0.5434782608695651,0.0,0.0,0.051888647240347655,,,,0.5586614976535401,0.8950817314335909,0.4752705813808738,0.043711304539277705,,0.4234098858378492,,,,,0.4991379346452737,0.12890625,,,0.04949776690412536,,0.612902465992075,,0.10334104561567417,0.02920776818742295,0.0032496693175694427,0.9781272683122328,0.14832293205724745,,,0.0029503360104900828,0.0,,0.2048392661129271,0.4555381832036407,,0.0,0.4162555790462768,,,0.9846390168970814,,,,,0.04071826379810239,,,0.5426381511703519,0.0,0.4293058749891041,0.5464842963486022,0.003204876866201391,0.0,0.4779714659323374,,0.5119007140428423,0.0,,0.004267988034076822,0.0,0.9833586403790984,0.5046012269938651,0.2604178709933991,,0.4137843010944241,,,0.3996322724867716,,,,0.004577180745328657,0.003993280081558611,0.0,,,0.3338390751746512,,0.9999999903768152,0.2704773085881303,0.03509481618880365,,0.28094777562862666,0.5706051873198846,,0.0,0.0,3.7183020640529775e-16,,,29.483515274170948
300266.XSHE,,,,0.09087858655001824,,0.4153577661431065,0.5455980357769203,0.43768115942028973,0.11201880477524087,0.3051621061792074,,0.02121276119959252,0.9060262652563,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7372799110349735,0.2263606298942724,0.3974899957102992,,0.08444543480274674,0.2027764174211056,0.38276172592653795,0.24371018019375346,,0.6229288806159061,0.6822995461422088,0.15984450457195082,0.24937559609745905,,,0.5044761000474249,,,,0.019412272325788512,,,,,0.21609826428691595,0.6550768746680695,,,,,,,0.863265306122449,4.298163125828601e-17,,0.08116198066151659,,0.8724610490252058,,,,0.06617657972131746,,0.17310696277584406,0.742302829967889,0.3072717534989225,0.7920433545030071,,0.0,0.5141992583984142,0.5766589352749495,,0.5627568922305765,,,,0.46941644928067205,0.17311932646773492,,0.0010804278038828755,0.6042484937514226,,,,,,0.479389435396962,0.5005759158789775,,,,,,0.0,0.0,0.0,0.758986928104575,0.6260869565217393,0.0,1.0,0.04254575473104732,,,,0.5586614976535401,0.8872742781624684,0.6633685191281885,0.016651129472572312,-0.0,0.6649533129818871,,,,,0.4991379346452737,0.12890625,,,0.03014628931101725,0.6695424485790126,0.7140702053861018,,0.10334104561567417,,0.09128468083021704,0.0,0.2663258191959099,,,0.010395189744563013,2.1548323694701112e-17,,0.2048392661129271,0.4302129188809191,,0.0,0.5443504815597839,,,0.3846108746379615,,,,,0.04527142177651579,0.4896157944294491,,0.2839984974676247,0.0,0.3892032538965751,0.606993818373572,0.0916231909461844,0.0,0.357126949648682,,0.5382522951377081,0.0,,0.06964308611766105,0.0,0.9451913640833536,0.5153374233128835,0.04059583567077209,,0.41971274735413694,,,0.4399261809759365,,,,0.0948412309002733,0.06839619830398178,1.2992187525326392e-16,,,0.3338390751746512,,0.9999999903768152,0.2776890254339073,0.3896935493419103,,0.4431818181818181,0.5230547550432276,,0.0,0.0,7.535758849814037e-15,,,29.839191477259284
002437.XSHE,,,,0.021084612991196416,,0.3961605584642233,0.5220087646270806,0.4260869565217391,0.025505408111389054,0.4383580325484135,,0.010288551527650094,0.9772917066609148,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7362681133970972,0.1288852478831585,0.3976777404446751,,0.08782043067080958,0.21577860059096154,0.4403302091145108,0.24371018019375346,,0.6229288806159131,,0.1706948765710402,0.2493755960974538,,,0.5043527070647197,,,,0.019412272325788512,,,,,0.2160982642869156,0.5682557202222561,,,,,,,0.7040816326530612,5.326186990339555e-18,1.0,0.19501578986070667,,0.2892160861407944,,,,0.1484830588512942,,0.17310696277583898,0.7423028299678958,0.4263839742619968,0.9020386266527146,,0.0,0.5141992583984141,0.4953427338060206,,,,,,,0.2782746879093665,,0.0050168141509984825,0.5150958851635583,,,,,,0.479389435396962,0.4696673559064928,,,,,,0.0,0.1293610271228886,0.0,0.758986928104575,0.6782608695652174,0.0,1.0,0.11942583903795773,,,,0.5586614976535401,0.9317099411293944,0.6433976289152938,0.019629785348692082,,0.7715691143632006,,,,0.0,0.4991379346452737,0.12890625,,,0.030117072128122282,,0.7020515547057169,,0.10334104561567417,0.024575671473757568,0.02122899554191094,0.5116141766839548,0.0209868148968534,,,0.010084628059248266,0.0,,0.2048392661129271,0.4541078960715022,,0.0,0.2452431289640592,,,0.923195084485407,,,,,0.04389535922362861,,1.0,0.35289550124368724,0.0,0.4241496195038288,0.5863059041153579,0.021262484694445,,0.3669486325739208,,0.4574974498469908,0.0,,0.015506049068160747,0.0,0.970149011659036,0.4708588957055216,0.08349864905044943,,0.41971274735413694,,,0.4065187349456209,,,,0.02561367719495746,0.014648258296059619,0.0,,,0.3338390751746512,,0.9999999903768152,0.2776890254361273,0.1075142569607514,,0.4175531914893617,0.4855907780979827,,0.0,0.0,5.949283302484765e-16,,,29.986744015518948
002002.XSHE,,,,0.02425706633477931,,0.4729493891797557,0.53530783956591,0.4739130434782609,0.025747820431939808,0.4082773187325214,,0.002913260615698065,0.9740523684152504,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7376773058461645,0.409750922420624,0.3972494494971971,,0.08856665176082816,0.17879406615377602,0.5988413489755707,0.24371018019375346,,0.6229288806159085,0.9558210103801388,0.1601091477914408,0.2493755960974577,,,0.5049506884424455,,,,0.019412272325788512,,,,0.029803712770632013,0.21609826428691634,0.4485704456205624,,,,,,,0.7000000000000001,5.558771575070541e-18,,0.5074889886279781,,0.31572722081735866,,,,0.2923950001668984,,0.1731069627758407,0.7423028299678941,0.5214107558521993,0.911824301871416,,0.0,0.5141992583984133,0.3827579782963104,,0.33684210526315794,0.16666666666666666,,,0.4702826114780204,0.4033450956646079,,0.01605411217442387,0.3855621600589342,,,,,,0.479389435396962,0.4674833121772132,,,,,,0.0,0.4838168215034148,0.0,0.758986928104575,0.6492753623188408,0.0,0.0,0.02904693203637544,,,,0.5586614976535401,0.9471177804940784,0.4676256451808837,0.04630397733006023,,0.5848138356023797,,,,0.0,0.4991379346452737,0.12890625,,,0.05203843055355263,,0.6923143707128822,,0.10334104561567417,0.04111268964777785,0.024413344873197573,0.4660370025832818,0.12387752328583825,,,0.005736764464841828,7.010387975342762e-17,,0.2048392661129271,0.44942215432506094,,0.0,,,0.05701754385964913,,,,,,0.04135876439401586,0.4896157944294491,0.0,0.5295150969231048,0.0,0.423287381787789,0.5543155286702462,0.024460698614978616,0.0,0.3627115905322967,,0.5323019381162868,0.0,,0.015222086599617646,0.0,0.9829609767207086,0.5184049079754602,0.06272466979277604,,0.4127157709690631,,,0.4033066266301386,,,,0.028829043069782363,0.015047357212100553,0.0,,,0.3338390751746512,,0.9999999903768152,0.2697726647721864,0.12034058843262235,,0.7642649903288201,0.5288184438040346,,0.0,0.0,1.4873208256211912e-16,,,30.21457922854439
600158.XSHG,,,,0.05012476282860824,,0.4572425828970331,0.5083631615201598,0.4724637681159421,0.054304226111134286,0.45431031763555496,,0.026563056459694718,0.9476393027198338,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7340296811412879,0.5098406554648255,0.3967386876126848,,0.08799132620352385,0.2363648904294914,0.6080911693977049,0.24371018019375346,,0.6229288806159051,,0.17439988164389997,0.2493755960974603,,,0.5048272954597401,,,,0.019412272325788512,,,,0.12426541350431974,0.2160982642869156,0.3889195549096723,,,,,,,,4.465624026834911e-18,0.0,0.5266045033912746,,0.5318949343339584,,,,0.4496371473416863,,0.17310696277583826,0.7423028299678973,0.6372591764605239,0.8609761335183639,,0.0,0.5141992583984132,0.3134172883404946,,0.0019253910950661848,0.16666666666666666,,,0.4762545718913174,0.5432970113867925,,0.04295191081338209,0.311978954818057,,,,,,0.479389435396962,0.457847405879799,,,,,,0.0,0.5060029071902261,0.0,0.6973039215686274,0.7043478260869566,0.0,,0.054477709378290266,,,,0.5586614976535401,0.8900590122060986,0.907887515918748,0.04471779112497151,,0.7140799790593221,,,,0.0,0.4991379346452737,0.12890625,,0.5280629449583945,0.010990041142530844,,0.7366322244734029,,0.10334104561567417,,0.05037803942061172,0.05570588097339416,0.12598187311178252,,,0.02281765715715284,0.0,,0.2048392661129271,0.5038840047216782,,0.0,0.2264975334742777,,,0.7019969278033794,,,,,0.05086107078506938,,1.0,0.34916183349325713,0.0,0.4279156424184574,0.4826625937678617,0.0505384428900988,1.0,0.3644407871108503,,0.4974498469908194,0.0,,0.05335164226774661,0.0,0.9903258659426591,0.5153374233128835,0.008151839276494115,,0.409270088353674,,,0.3907004611349936,,,,0.0553652421075657,0.06032730342164413,0.0,,,0.3338390751746512,,0.9999999903768152,0.26426548361821905,0.2249245219724922,,0.31866537717601545,0.5244956772334294,,0.0,0.0,2.6771774861181444e-15,,,31.009317762192627
000156.XSHE,,,,0.048953395440208526,,0.3734729493891798,0.4898048877375514,0.3855072463768116,0.053949956567967236,0.4558596236021457,,0.01900762789773151,0.9488353660720792,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7335285906400397,0.23495114997605496,0.397748391954308,,0.0898856174832425,0.16302522471839187,0.40223944671804895,0.24371018019375346,,0.6229288806159079,0.8668683812405448,0.17704631383879985,0.249375596097458,,,0.5042577893857155,,,,0.019412272325788512,,,,0.19157443675828126,0.2160982642869156,0.7485993609524308,,,,,,,0.7408163265306122,5.930906910640116e-18,,0.11967818439175665,,0.5221062076841505,,,,0.13387769889387918,0.9474050853361198,0.17310696277584106,0.7423028299678932,0.3631504096454535,0.8894880517211314,,0.0,0.514199258398415,0.6915014777594704,,,,,,0.4702826114780204,0.2350695184285008,,0.0002709401087199894,0.7416865227439762,,,,,,0.479389435396962,0.4676393433385957,,,,,,0.0,0.043759327990697774,0.0,0.758986928104575,0.5536231884057972,0.0,1.0,0.06469435991651637,,,,0.5586614976535401,0.918817901661884,0.7748590277085915,0.0053979768683034045,,0.6708037754265754,,,,,0.4991379346452737,0.12890625,,,0.018137465272287847,0.6906828866381521,0.739476328201077,0.0,0.10334104561567417,0.0116038279382215,0.04920227966752127,0.03193665412410609,0.12419688914101773,,,,0.0,,0.2048392661129271,0.4831164350474975,,0.0,0.6522198731501057,,,0.8940092165898618,,,,,0.047806500901537145,,0.0,0.521249592884163,0.0,0.4248096897540314,0.5486042186687999,0.04935756390405562,0.0,0.35523365361549164,,0.4600476028561714,0.0,,0.00856772370321944,0.0,0.9625776686511928,0.4785276073619633,0.013445379076009295,,0.4197127473541369,,,0.4034577476485115,,,,0.0545519618608919,0.007013197910450226,0.0,,,0.3338390751746512,,0.9999999903768152,0.2776890254358102,0.22018864573672486,,0.5053191489361701,0.478386167146974,,0.0,0.0,8.92392495372715e-16,,,31.10021085489603
600335.XSHG,,,,0.04470718865725912,,0.4642233856893544,0.4956705108754907,0.463768115942029,0.045326947063344315,0.5001672135000045,,0.0074788182970159265,0.9531710957239684,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7309619098480595,0.4433902315692486,0.3979968320835832,,0.08588974404985518,0.22041928321278176,0.530690145462839,0.24371018019375346,,0.6229288806159097,0.0,0.17678167061930986,0.24937559609745655,,,0.504846278995541,,,,0.019412272325788512,,,,0.023521691521594352,0.21609826428691487,0.4665618502664698,,,,,,,,2.6979811828794253e-18,1.0,0.37747790159138,,0.4866220735785952,,,,0.5509654872189598,0.9475905912269548,0.17310696277583862,0.7423028299678965,0.6441289551180379,0.8829890759443562,,0.0,0.514199258398415,0.3891177693046189,,0.008771929824561408,0.16666666666666666,,,0.6972171071833057,0.5763085839087373,,0.04753850751313141,0.3935546324659618,,,,,,0.479389435396962,0.4652996307637383,,,,,,0.0,0.33880885797383536,0.0,0.6891339869281045,0.6869565217391305,0.0,1.0,0.07193740744869813,,,,0.5586614976535401,0.9399982271057736,0.7568886017803526,0.05675292668868824,,0.8289910474615896,,,,0.0,,0.12109375,,,0.015911019615308913,,0.7608316429974036,,0.10334104561567417,0.007218677960649763,0.04494015056256837,0.09747431463275574,0.0837289598618904,,,,0.0,,0.2048392661129271,0.5127302258980392,,0.0,0.3781614595568084,,,,,,,,0.050904746550352084,,0.0,0.2889464481959689,0.0,0.4300034323371055,0.5382121663645035,0.045076877579649066,0.0,0.3142518488534722,,0.5238014280856851,0.0,,0.060228286606051326,0.0,0.9915432380026664,0.4907975460122699,0.0054103060905247614,,0.4338945119402651,,,0.4009730408842552,,,,0.050613045378131535,0.06154864916625258,0.0,,,0.3338390751746512,,0.9999999903768152,0.2846262700687909,0.20302109438206686,,0.7103481624758221,0.4956772334293948,,0.0,0.0,1.78478499074543e-15,,,31.235517657924827
000566.XSHE,,,,0.05622563464319052,,0.4467713787085515,0.535257128126677,0.4681159420289854,0.05696085910405605,0.4542964830933594,,0.051916913061843116,0.9414098060935564,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7327430004720215,0.4683820436701278,0.3977517206491113,,0.0799320714188535,0.18310772236946812,0.7582696635797559,0.24371018019375346,,0.622928880615908,0.8232624365933969,0.16169700710838072,0.249375596097458,,,0.5047988201560389,,,,0.019412272325788512,,,,0.4031809867749749,0.21609826428691487,0.33635836119009344,,,,,,,,5.209894697974063e-18,1.0,0.8237802952860511,,0.5828778856350433,,,,0.4548380749735949,,0.1731069627758403,0.7423028299678943,0.61659220688552,0.9047185611682416,,0.0,0.5141992583984147,0.2870445124866365,,0.619298245614035,,,,0.6972171071833057,0.5181237788079347,,0.0001046860697502984,0.2719743485776848,,,,,,0.479389435396962,0.4626397963093038,,,,,,0.0,0.8437492958753574,0.0,0.758986928104575,0.5884057971014492,0.0,0.0,0.12058221567608987,,,,0.5586614976535401,0.9063595926082778,0.9318514733516464,0.0,,0.5653915167230174,,,,,0.4991379346452737,0.12890625,,,0.011343951600993135,0.7196871731094903,0.7433786998315288,,0.10334104561567417,,0.05650178813462449,0.00032578859809434817,0.04798293939932469,,,0.03011585676204936,4.022353756344208e-18,,0.2048392661129271,0.5071321555362795,,0.0,,,,,,,,,0.05049192302444645,,0.0,0.3254484530243759,0.0,0.4313921974516821,0.5324179725918553,0.05668885427574032,0.0,0.35477894356312584,,0.5280516831009858,0.0,,0.0,0.0,0.9892936416401448,0.5046012269938651,0.036061039140840113,,0.41971274735413694,,,0.3986175754851204,,,,0.061839835859402476,0.0,0.0,,,0.3338390751746512,,0.9999999903768152,0.2776890254358102,0.2495905440337824,,0.3926499032882012,0.5100864553314121,,0.0,0.0,0.0,,,31.50207201682686
600393.XSHG,,,,0.02323211986992955,,0.4171029668411867,0.5499592195509503,0.44782608695652176,0.02382318359515115,0.4543377461192125,,0.010505959036284278,0.9750989238484652,0.8435466377440347,0.7958682873937113,,3.4374716277949086e-78,0.6307593362774945,,0.6135278528619867,,0.7344004954663848,0.4014664125014809,0.39771743600119497,,0.08740489627000787,0.20564110187872964,0.7481152530039157,0.24371018019375346,,0.6229288806159103,0.9218414664180418,0.1706948765710402,0.24937559609745624,,0.06955624355005159,0.50459000126223,,,,0.019412272325788512,,,,0.016606124325315334,0.2160982642869136,0.3060625741172192,,,,,,,0.7653061224489796,1.481854535467288e-17,,0.8036429832796284,,0.30716208499877623,,,,0.4352417092607189,,0.17310696277583898,0.7423028299678959,0.559360262157494,0.9015287398354204,,0.0,0.5141992583984167,0.25353466129507524,,0.051068020929516775,,,,0.6846096351996787,0.4819308220652772,,0.009299343201480716,0.24658441289134125,,,,,,0.479389435396962,0.4660744867381557,,,,,,0.0,0.8208380791921773,0.0,0.753267973856209,0.6666666666666667,0.0,0.0,0.06892010098410846,,,,0.5586614976535401,0.9364376196963444,0.6113934461580323,0.022441580695250277,-0.0,0.644940919433936,,,,,0.4991379346452737,0.12890625,,,0.031049774505153626,0.8117145945459189,0.7247980059536687,,0.10334104561567417,0.016666219911006273,0.02338455508924343,0.4419866181315197,0.5845921450151058,,,0.006916898869037861,0.0,,0.2048392661129271,0.479161502126245,,0.0,0.4178999295278365,,,,,,,,0.04864284739768243,,,0.2289314621623923,0.0,0.4273344852059407,0.5576181544768063,0.02342742950219078,1.0,0.3720985485971721,,0.5,0.0,,0.010137532994076078,3.2993254817983825e-17,0.9876212457244322,0.4616564417177916,0.026815005065473043,,0.4197127473541372,,,0.4023912791510306,,,,0.02800907106632096,0.0075848879581050235,0.0,,,0.3338390751746512,,0.9999999903768152,0.2776890254345417,0.1161966967263255,,0.6702127659574468,0.4899135446685878,,0.0,0.0,8.92392495372715e-16,,,31.52513222188752
