DATE,OPEN,HIGH,LOW,CLOSE,CHG_PCT,VOL,AMT,TRN_RT
2018-01-02,6.33,6.35,6.21,6.3,0,7258203,46707618,0.58
2018-01-03,6.3,6.36,6.24,6.33,0.46,9510644,61600799,0.76
2018-01-04,6.33,6.47,6.3,6.42,1.38,11148271,73335251,0.9
2018-01-05,6.41,6.5,6.32,6.34,-1.21,9108536,59430486,0.73
2018-01-08,6.34,6.37,6.15,6.19,-2.3,11882932,75849045,0.95
2018-01-09,6.2,6.22,6.16,6.19,0,7296320,46429546,0.59
2018-01-10,6.19,6.21,6.03,6.11,-1.42,8985331,56448929,0.72
2018-01-11,6.11,6.22,6.03,6.14,0.64,6676870,42078617,0.54
2018-01-12,6.13,6.17,6.09,6.13,-0.16,4394593,27631709,0.35
2018-01-15,6.14,6.17,5.97,6,-2.22,6713833,41603609,0.54
2018-01-16,6,6.04,5.96,5.99,-0.16,5658106,34774291,0.45
2018-01-17,6.01,6.01,5.87,5.95,-0.65,8524818,51885583,0.69
2018-01-18,5.96,6.23,5.91,6.12,2.95,12328674,77423350,0.99
2018-01-19,6.11,6.13,6.03,6.05,-1.27,6605459,41171899,0.53
2018-01-22,6.05,6.09,5.97,6.06,0.16,4786476,29645402,0.38
2018-01-23,6.07,6.09,6.02,6.05,-0.16,4210502,26107231,0.34
2018-01-24,6.04,6.1,5.99,6.07,0.32,6198402,38566447,0.5
2018-01-25,6.06,6.06,5.99,6.04,-0.48,6700459,41447264,0.54
2018-01-26,6.02,6.05,5.94,5.96,-1.29,7254080,44472052,0.58
2018-01-29,5.93,5.97,5.87,5.9,-0.98,6888600,41779531,0.55
2018-01-30,5.91,5.93,5.87,5.9,0,4326894,26177961,0.35
2018-01-31,5.89,5.89,5.51,5.53,-6.27,14069700,82127071,1.13
2018-02-01,5.58,5.64,5.01,5.08,-8.1,17078691,92272478,1.37
2018-02-02,4.98,5.07,4.88,5.03,-0.96,7062988,36306054,0.57
2018-02-05,5.01,5.03,4.96,4.99,-0.77,4170100,21369995,0.34
2018-02-06,4.95,4.99,4.62,4.62,-7.41,11843853,58543275,0.95
2018-02-07,4.74,4.79,4.54,4.72,2.11,6973855,33641914,0.56
2018-02-08,4.68,4.82,4.68,4.79,1.44,3188901,15664310,0.26
2018-02-09,4.72,4.73,4.59,4.67,-2.44,7097172,34082124,0.57
2018-02-12,4.72,4.82,4.7,4.79,2.5,4265200,20926539,0.34
2018-02-13,4.81,4.84,4.75,4.79,0,3665490,18085215,0.29
2018-02-14,4.82,4.93,4.76,4.91,2.44,5076800,25402227,0.41
2018-02-22,4.92,5.03,4.92,4.99,1.79,4223212,21569355,0.34
2018-02-23,4.97,4.99,4.92,4.95,-0.97,2876587,14624260,0.23
2018-02-26,4.96,5.05,4.93,5.04,1.97,4751090,24387864,0.38
2018-02-27,5.01,5.19,5,5.12,1.54,5977729,31411558,0.48
2018-02-28,5.12,5.15,5.04,5.12,0,4500400,23534140,0.36
2018-03-01,5.11,5.15,5.06,5.13,0.19,4587197,24135222,0.37
2018-03-02,5.12,5.14,5.03,5.05,-1.52,4561481,23805742,0.37
2018-03-05,5.05,5.19,5.03,5.14,1.73,4449650,23406825,0.36
2018-03-06,5.13,5.18,5.11,5.16,0.38,4573791,24161006,0.37
2018-03-07,5.13,5.18,5.09,5.11,-0.94,3303521,17386855,0.27
2018-03-08,5.11,5.15,5.08,5.12,0.19,3137012,16506177,0.25
2018-03-09,5.13,5.26,5.13,5.22,1.9,6477921,34620942,0.52
2018-03-12,5.27,5.32,5.2,5.29,1.31,6622805,35896023,0.53
2018-03-13,5.26,5.34,5.21,5.31,0.37,5927222,32114972,0.48
2018-03-14,5.3,5.3,4.98,5.02,-5.32,14271581,74922520,1.15
2018-03-15,5.03,5.08,4.98,5.03,0.19,8336217,42991178,0.67
2018-03-16,5.01,5.12,4.99,5.04,0.19,6629984,34519777,0.53
2018-03-19,5.05,5.05,4.96,4.98,-1.35,4378500,22500118,0.35
2018-03-20,4.98,5.18,4.95,5.09,2.35,9546465,49871582,0.77
2018-03-21,5.05,5.24,5.05,5.09,0,9331724,49342749,0.75
2018-03-22,5.08,5.6,4.99,5.6,9.94,13195374,72469048,1.06
2018-03-23,5.5,5.94,5.43,5.62,0.35,55866102,328613873,4.49
2018-03-26,5.29,5.39,5.05,5.37,-4.51,30268559,161394355,2.43
2018-03-27,5.31,5.77,5.31,5.56,3.63,26821073,153003202,2.16
2018-03-28,5.39,5.52,5.32,5.44,-2.1,16072813,89476624,1.29
2018-03-29,5.43,5.78,5.37,5.68,4.29,24565110,141008845,1.97
2018-03-30,5.61,5.72,5.57,5.58,-1.72,15485075,89329245,1.24
2018-04-02,5.55,5.62,5.4,5.47,-1.92,13558918,76721458,1.09
2018-04-03,5.39,5.41,5.33,5.35,-2.31,8997531,49480985,0.72
2018-04-04,5.4,5.4,5.25,5.26,-1.64,8252866,45248080,0.66
2018-04-09,5.25,5.36,5.17,5.32,1.11,7359801,39832685,0.59
2018-04-10,5.32,5.33,5.19,5.25,-1.28,7745240,41614219,0.62
2018-04-11,5.28,5.28,5.19,5.2,-0.93,10493300,56296158,0.84
2018-04-12,5.16,5.24,4.96,4.98,-4.31,16931279,88419149,1.36
2018-04-13,4.99,5.05,4.98,4.99,0.2,6172738,31779778,0.5
2018-04-16,4.99,4.99,4.87,4.89,-1.95,6921785,34959838,0.56
2018-04-17,4.92,4.95,4.79,4.8,-1.79,6278410,31375797,0.5
2018-04-18,4.85,4.87,4.74,4.82,0.41,6171023,30506105,0.5
2018-04-19,4.84,5.01,4.83,4.99,3.64,9345637,47452227,0.75
2018-04-20,5.1,5.12,4.92,4.94,-1.17,12478965,64259710,1
2018-04-23,4.87,4.89,4.75,4.84,-1.97,6490930,32207559,0.52
2018-04-24,4.86,4.92,4.81,4.91,1.41,4495655,22547622,0.36
2018-04-25,4.9,4.9,4.84,4.85,-1.19,4307226,21504695,0.35
2018-04-26,4.85,4.86,4.72,4.72,-2.61,6169252,30194394,0.5
2018-04-27,4.67,4.67,4.56,4.62,-2.06,9386246,44433200,0.75
2018-05-02,4.65,4.68,4.59,4.62,0,3726000,17700963,0.3
2018-05-03,4.63,4.67,4.59,4.65,0.63,2984700,14213658,0.24
2018-05-04,4.66,4.72,4.64,4.65,0,3134303,15057217,0.25
2018-05-07,4.66,4.75,4.66,4.74,1.88,4550406,22048025,0.37
2018-05-08,4.75,4.75,4.7,4.73,-0.21,5336302,25900214,0.43
2018-05-09,4.74,4.74,4.68,4.71,-0.41,3134385,15154933,0.25
2018-05-10,4.72,4.81,4.7,4.78,1.45,5666319,27738897,0.46
2018-05-11,4.78,4.82,4.71,4.72,-1.22,4829755,23657157,0.39
2018-05-14,4.72,4.75,4.7,4.73,0.21,3380669,16416964,0.27
2018-05-15,4.73,4.76,4.67,4.7,-0.62,3827500,18481651,0.31
2018-05-16,4.71,4.73,4.67,4.72,0.41,3488320,16849899,0.28
2018-05-17,4.71,4.71,4.65,4.66,-1.24,3173600,15244742,0.26
2018-05-18,4.67,4.71,4.65,4.7,0.84,2861836,13773457,0.23
2018-05-21,4.72,4.78,4.71,4.74,0.83,4694081,22875973,0.38
2018-05-22,4.75,4.87,4.75,4.81,1.44,7639294,37817246,0.61
2018-05-23,4.79,4.81,4.75,4.75,-1.21,3663578,17964699,0.29
2018-05-24,4.78,4.87,4.75,4.77,0.41,5636594,27783491,0.45
2018-05-25,4.78,4.78,4.65,4.67,-2.04,4444098,21461528,0.36
2018-05-28,4.66,4.68,4.59,4.6,-1.67,4230942,20084848,0.34
2018-05-29,4.6,4.62,4.55,4.55,-1.06,3333293,15693234,0.27
2018-05-30,4.53,4.53,4.29,4.32,-4.93,7372101,33475233,0.59
2018-05-31,4.35,4.41,4.28,4.33,0.23,5661255,25165550,0.45
2018-06-01,4.33,4.35,4.28,4.31,-0.45,3651461,16179470,0.29
2018-06-04,4.32,4.33,4.27,4.32,0.23,2722100,12045657,0.22
2018-06-05,4.33,4.53,4.32,4.46,3.15,5477160,25011761,0.44
2018-06-06,4.46,4.5,4.4,4.43,-0.66,2540003,11574076,0.2
2018-06-07,4.42,4.45,4.31,4.32,-2.42,3616000,16219309,0.29
2018-06-08,4.31,4.34,4.09,4.15,-4.05,8685087,37343680,0.7
2018-06-11,4.14,4.17,4.1,4.12,-0.7,3086699,13089379,0.25
2018-06-12,4.12,4.16,4.09,4.13,0.24,3490400,14759146,0.28
2018-06-13,4.13,4.13,3.92,3.93,-4.72,9609379,39464266,0.77
2018-06-14,3.93,3.97,3.89,3.92,-0.25,4449984,17971667,0.36
2018-06-15,3.94,3.94,3.67,3.78,-3.72,9014850,35125314,0.72
2018-06-19,3.73,3.73,3.4,3.43,-9.28,13218172,48038056,1.06
2018-06-20,3.46,3.61,3.37,3.55,3.69,7063614,25441212,0.57
2018-06-21,3.6,3.6,3.42,3.44,-3.29,4960598,17940891,0.4
2018-06-22,3.44,3.59,3.44,3.56,3.68,4883473,17771446,0.39
2018-06-25,3.6,3.72,3.58,3.61,1.37,5268398,19749269,0.42
2018-06-26,3.55,3.67,3.54,3.63,0.54,3726800,13879514,0.3
2018-06-27,3.62,3.67,3.59,3.62,-0.27,2683500,10016739,0.22
2018-06-28,3.6,3.89,3.57,3.68,1.61,5685100,21714757,0.46
2018-06-29,3.7,3.72,3.61,3.7,0.53,6848117,25122407,0.55
2018-07-02,3.7,3.72,3.64,3.67,-0.81,4612932,17023884,0.37
2018-07-03,3.65,3.71,3.65,3.7,0.82,3435718,12660145,0.28
2018-07-04,3.69,3.83,3.67,3.8,2.7,6371419,23818498,0.51
2018-07-05,3.75,3.79,3.58,3.59,-5.53,5235461,19316229,0.42
2018-07-06,3.56,3.69,3.5,3.62,0.84,4166561,15076208,0.33
2018-07-09,3.62,3.68,3.62,3.67,1.38,3189670,11650992,0.26
2018-07-10,3.65,3.71,3.65,3.7,0.82,2442718,8981954,0.2
2018-07-11,3.65,3.68,3.56,3.59,-2.97,3799100,13675362,0.31
2018-07-12,3.57,3.75,3.57,3.7,3.06,4265254,15697621,0.34
2018-07-13,3.68,3.7,3.66,3.67,-0.81,2163107,7961929,0.17
