证券代码,买卖数量,买卖日期,买卖价格,证券类型,买卖方向,说明,,,,,
600380.SH,80400,2018/7/18,12.43,股票,买入,*买入扣减现金,19948279,,,,
600277.SH,187200,2018/7/18,5.34,股票,买入,*买入扣减现金,,,,,
600563.SH,19000,2018/7/18,52.5,股票,买入,*买入扣减现金,,,,,
000830.SZ,55700,2018/7/18,17.94,股票,买入,*买入扣减现金,,,,,
000027.SZ,209200,2018/7/18,4.78,股票,买入,*买入扣减现金,,,,,
603019.SH,19100,2018/7/18,52.17,股票,买入,*买入扣减现金,,,,,
600655.SH,108900,2018/7/18,9.18,股票,买入,*买入扣减现金,,,,,
002110.SZ,56700,2018/7/18,17.61,股票,买入,*买入扣减现金,,,,,
600760.SH,25900,2018/7/18,38.58,股票,买入,*买入扣减现金,,,,,
000028.SZ,21600,2018/7/18,46.23,股票,买入,*买入扣减现金,,,,,
002831.SZ,18500,2018/7/18,53.85,股票,买入,*买入扣减现金,,,,,
002745.SZ,53700,2018/7/18,18.62,股票,买入,*买入扣减现金,,,,,
603444.SH,7900,2018/7/18,125.92,股票,买入,*买入扣减现金,,,,,
002078.SZ,114400,2018/7/18,8.74,股票,买入,*买入扣减现金,,,,,
600536.SH,38000,2018/7/18,26.28,股票,买入,*买入扣减现金,,,,,
603658.SH,12000,2018/7/18,83.16,股票,买入,*买入扣减现金,,,,,
002709.SZ,27300,2018/7/18,36.6,股票,买入,*买入扣减现金,,,,,
002371.SZ,18400,2018/7/18,54.09,股票,买入,*买入扣减现金,,,,,
000661.SZ,3900,2018/7/18,251,股票,买入,*买入扣减现金,,,,,
000636.SZ,41300,2018/7/18,24.2,股票,买入,*买入扣减现金,,,,,
000977.SZ,39300,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
002049.SZ,21700,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
002078.SZ,111100,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
002709.SZ,26700,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
002831.SZ,18100,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
603658.SH,12000,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600801.SH,59200,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
300253.SZ,77200,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
000066.SZ,137700,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600380.SH,80900,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600282.SH,215500,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
000727.SZ,561700,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
300058.SZ,195300,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600060.SH,84300,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
000830.SZ,55500,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600536.SH,38400,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
600655.SH,108800,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
002371.SZ,18600,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
000636.SZ,42900,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
000661.SZ,4000,2018/7/18,,股票,卖出,*卖出增加现金,,,,,
